Benchmark	Advice#	Advice	Pattern	Size	Precision	Concreteness
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, CollectionsFactory.createList()]	2	0.05172413793103448	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, UngroupCommand$UndoActivity.ungroupFigures()]	1	0.5	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, UndoableAdapter.getAffectedFigures()]	2	0.04054054054054054	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, sets_field, StandardDrawingView.fSelection]	2	0.06818181818181818	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, DecoratorFigure.figures()]	2	0.09523809523809523	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, CompositeFigure.figures(Rectangle;)]	2	0.09090909090909091	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, StandardDrawingView.clearSelection()]	1	0.07692307692307693	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, NullDrawingView.addToSelectionAll(Collection;)]	2	0.2727272727272727	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, AbstractFigure.invalidate()]	2	0.031578947368421054	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, sets_field, JavaDrawApp.fAnimator]	2	0.3333333333333333	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, JavaDrawApp.startAnimation()]	1	1.0	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Animator.start()]	2	0.3333333333333333	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, JavaDrawApp.fAnimator]	2	0.16666666666666666	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Animator.<init>(Animatable;,DrawingView;)]	2	0.5	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, CollectionsFactory.current()]	1	0.011235955056179775	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, FigureAndEnumerator.reset()]	1	0.3333333333333333	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, List.add(I,Object;)]	2	0.5	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, sets_field, ReverseFigureEnumerator.myInitialList]	2	0.14285714285714285	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, ListWrapper.myDelegee]	2	0.011627906976744186	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ReverseFigureEnumerator.reset()]	1	0.25	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Clipboard.setContents(Object;)]	2	0.5	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, DecoratorFigure.getDependendFigures()]	2	0.18181818181818182	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, FigureTransferCommand.deleteFigures(FigureEnumeration;)]	1	0.4	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, AbstractFigure.getDependendFigures()]	2	0.16666666666666666	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, overrides, FigureEnumeration.reset()]	2	0.2857142857142857	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, DeleteFromDrawingVisitor.<init>(Drawing;)]	2	0.5	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, LineConnection.visit(FigureVisitor;)]	2	0.18181818181818182	0.3333333333333333	
